Compound	uniq.cpd	hERG.IC50	cmax	QT.increase	QT.label	log.herg	log.cmax	margin
1	1	0.4	0.25494	1	QT increase	-0.397940009	-0.593562019	0.19562201
2	2	0.4	0.10532	1	QT increase	-0.397940009	-0.97748915	0.579549141
3	3	0.6	0.2541	1	QT increase	-0.22184875	-0.594995335	0.373146585
4	4	2	0.20341	1	QT increase	0.301029996	-0.6916277	0.992657696
5	5	3	0.23472	1	QT increase	0.477121255	-0.629449904	1.106571158
6	6	4.7	0.07589	1	QT increase	0.672097858	-1.119815447	1.791913305
7	7	4.8	0.3026	1	QT increase	0.681241237	-0.519131076	1.200372314
8	8	11	0.11053	1	QT increase	1.041392685	-0.95651983	1.997912515
10	10	77.7	2.53911	1	QT increase	1.890421019	0.404681516	1.485739503
11	11	144.8	5.76	1	QT increase	2.160768562	0.760422483	1.400346078
13	13	6300	13.07	1	QT increase	3.799340549	1.116275588	2.683064962
14	14	1.7	0.00846	0	No increase	0.230448921	-2.072629637	2.303078558
15	15	11	0.0441	0	No increase	1.041392685	-1.355561411	2.396954096
16	16	11	0.00816	0	No increase	1.041392685	-2.088309841	3.129702526
17	17	37	0.0204	0	No increase	1.568201724	-1.690369833	3.258571557
18	18	165	0.05525	0	No increase	2.217483944	-1.257667718	3.475151662
19	19	200	0.22171	0	No increase	2.301029996	-0.654214718	2.955244714
20	20	210	1.5934	0	No increase	2.322219295	0.202324813	2.119894482
21	21	20000	348.03922	0	No increase	4.301029996	2.541628187	1.759401809
22	22	2860	0.14336	0	No increase	3.456366033	-0.843572008	4.299938041
23	23	6000	0.05784	0	No increase	3.77815125	-1.237771716	5.015922966
24	24	1850	0.00651	0	No increase	3.267171728	-2.186419011	5.45359074
6	6_2	4.7	0.77556	1	QT increase	0.672097858	-0.110384598	0.782482456
15	15_2	11	0.4518	0	No increase	1.041392685	-0.345053773	1.386446459
16	16_2	11	0.06125	0	No increase	1.041392685	-1.212893907	2.254286592
18	18_2	165	0.43602	0	No increase	2.217483944	-0.360493589	2.577977534
19	19_2	200	0.66876	0	No increase	2.301029996	-0.174729711	2.475759707
22	22_2	2860	0.5964	0	No increase	3.456366033	-0.224462365	3.680828398
23	23_2	6000	0.44646	0	No increase	3.77815125	-0.350217445	4.128368695
